platform,scene_name,video_file,category,solver,rigid_body_count,robot_dof,generalized_dof_count,deformable_vertex_count,particle_count,joint_or_constraint_count,sim_dt,substeps,warmup_steps,measured_steps,wall_time_sec,sim_fps,real_time_factor,measurement_mode,notes
Genesis,Rigid stack tower,video/Genesis/genesis_rigid_stack_tower.mp4,rigid,Rigid,,,,,,,,,,,,,headless_sim_loop,,
Genesis,Franka pick rigid cube,video/Genesis/genesis_robot_franka_pick_cube_rigid.mp4,robot_rigid,Rigid + robot IK,,,,,,,,,,,,,headless_sim_loop,,
Genesis,Hinge door joint,video/Genesis/genesis_rigid_hinge_door_joint.mp4,rigid_joint,Rigid joint,,,,,,,,,,,,,headless_sim_loop,,
Genesis,Robot joint control demo,video/Genesis/genesis_robot_joint_control_demo.mp4,robot_control,Robot joint control,,,,,,,,,,,,,headless_sim_loop,,
Genesis,SPH liquid free surface,video/Genesis/genesis_fluid_sph_liquid_free_surface.mp4,fluid,SPH,,,,,,,,,,,,,headless_sim_loop,,
Genesis,PBD liquid particles,video/Genesis/genesis_fluid_pbd_liquid_particles.mp4,fluid,PBD particles,,,,,,,,,,,,,headless_sim_loop,,
Genesis,SPH liquid rigid coupling,video/Genesis/genesis_coupling_sph_liquid_rigid.mp4,coupling,SPH + rigid coupling,,,,,,,,,,,,,headless_sim_loop,,
Genesis,MPM sand granular,video/Genesis/genesis_mpm_sand_granular.mp4,mpm,MPM granular,,,,,,,,,,,,,headless_sim_loop,,
Genesis,MPM elastic liquid plastic demo,video/Genesis/genesis_mpm_elastic_liquid_plastic_demo.mp4,mpm,MPM multi-material,,,,,,,,,,,,,headless_sim_loop,,
Genesis,PBD cloth hanging fixed edge,video/Genesis/genesis_cloth_pbd_hanging_fixed_edge.mp4,cloth,PBD cloth,,,,,,,,,,,,,headless_sim_loop,,
Genesis,Cloth rigid collision,video/Genesis/genesis_cloth_rigid_collision.mp4,cloth_collision,Cloth + rigid coupling,,,,,,,,,,,,,headless_sim_loop,,
Genesis,Franka grasp soft cube MPM,video/Genesis/genesis_robot_franka_grasp_soft_cube_mpm.mp4,robot_softbody,Robot + MPM soft body,,,,,,,,,,,,,headless_sim_loop,,
Genesis,Softbody FEM deformation,video/Genesis/genesis_softbody_fem_deformation.mp4,softbody,FEM,,,,,,,,,,,,,headless_sim_loop,,
Genesis,Franka IPC cloth teleop,video/Genesis/genesis_robot_franka_ipc_cloth_teleop.mp4,robot_cloth,IPC cloth + robot teleop,,,,,,,,,,,,,headless_sim_loop,,
Newton,Rigid collision ball pyramid,video/Newton/newton_rigid_collision_ball_pyramid.mp4,rigid,XPBD rigid contact,4201,0,25206,0,0,4201,0.001,10,20,100,0.27293140000256244,366.392434139352,3.6639243413935203,headless_sim_loop,shape_count=4203; tri_count=0; tet_count=0; edge_count=0; viewer=ViewerNull; compile/build excluded
Newton,Franka pick stack cube,video/Newton/newton_robot_franka_pick_stack_cube.mp4,robot_rigid,MuJoCo rigid contact + IK,17,9,27,0,0,17,0.0010416666666666667,16,10,50,0.7903492000041297,63.26317531508698,1.0543862552514498,headless_sim_loop,model_count=1; shape_count=210; tri_count=0; tet_count=0; edge_count=0; viewer=ViewerNull; compile/build excluded
Newton,Rigid joint constraints hinge,video/Newton/newton_rigid_joint_constraints_hinge.mp4,rigid_joint,XPBD rigid constraints,6,0,5,0,0,6,0.001,10,50,500,0.548298399997293,911.9121996388618,9.119121996388618,headless_sim_loop,model_count=1; shape_count=7; tri_count=0; tet_count=0; edge_count=0; viewer=ViewerNull; compile/build excluded
Newton,UR10 joint control,video/Newton/newton_robot_ur10_joint_control.mp4,robot_control,MuJoCo robot joint control,800,600,600,0,0,800,0.002,10,10,50,0.1409031000075629,354.85379666818034,7.097075933363606,headless_sim_loop,model_count=1; shape_count=4001; tri_count=0; tet_count=0; edge_count=0; viewer=ViewerNull; compile/build excluded
Newton,Franka inverse kinematics,video/Newton/newton_robot_franka_inverse_kinematics.mp4,robot_control,Newton IK,14,9,9,0,0,14,0.016666666666666666,0,20,100,0.24235650000628084,412.61530017725306,6.876921669620884,headless_sim_loop,shape_count=55; tri_count=0; tet_count=0; edge_count=0; viewer=ViewerNull; compile/build excluded
Newton,MPM rigid two-way coupling,video/Newton/newton_coupling_mpm_rigid_twoway.mp4,coupling,Implicit MPM + MuJoCo rigid,6,0,36,453871,453871,6,0.0025,4,10,50,0.5107990000105929,97.88586116841088,0.9788586116841088,headless_sim_loop,model_count=2; shape_count=7; tri_count=0; tet_count=0; edge_count=0; viewer=ViewerNull; compile/build excluded
Newton,MPM liquid viscous flow,video/Newton/newton_mpm_liquid_viscous_flow.mp4,mpm,Implicit MPM viscous,0,0,0,100190,100190,0,0.004166666666666667,1,10,50,1.2694819000025745,39.38614642705705,0.16410894344607105,headless_sim_loop,shape_count=2; tri_count=0; tet_count=0; edge_count=0; viewer=ViewerNull; compile/build excluded
Newton,MPM multi-material demo,video/Newton/newton_mpm_multi_material_demo.mp4,mpm,Implicit MPM multi-material,0,0,0,178669,178669,0,0.016666666666666666,1,10,50,1.2076411000016378,41.403029426484565,0.6900504904414094,headless_sim_loop,shape_count=1; tri_count=0; tet_count=0; edge_count=0; viewer=ViewerNull; compile/build excluded
Newton,XPBD cloth hanging fixed edge,video/Newton/newton_cloth_xpbd_hanging_fixed_edge.mp4,cloth,XPBD cloth,0,0,0,2145,2145,0,0.0016666666666666666,10,20,100,0.422406099998625,236.73900542706536,3.94565009045109,headless_sim_loop,model_count=1; shape_count=1; tri_count=4096; tet_count=0; edge_count=6240; viewer=ViewerNull; compile/build excluded
Newton,VBD cloth hanging fixed edge,video/Newton/newton_cloth_vbd_hanging_fixed_edge.mp4,cloth,VBD cloth,0,0,0,2145,2145,0,0.0016666666666666666,10,20,100,1.3645857999945292,73.28231028081994,1.2213718380136658,headless_sim_loop,model_count=1; shape_count=1; tri_count=4096; tet_count=0; edge_count=6240; viewer=ViewerNull; compile/build excluded
Newton,Style3D garment demo,video/Newton/newton_cloth_style3d_garment_demo.mp4,cloth,Style3D cloth,1,0,6,24510,24510,1,0.0016666666666666666,10,10,50,2.262586900003953,22.098598732235498,0.36830997887059164,headless_sim_loop,model_count=1; shape_count=2; tri_count=48824; tet_count=0; edge_count=73336; viewer=ViewerNull; compile/build excluded
Newton,Cloth rigid collision,video/Newton/newton_cloth_rigid_collision.mp4,cloth_collision,VBD cloth + rigid collision,2,0,12,1681,1681,2,0.001388888888888889,12,20,100,14.914059100003215,6.705082722917361,0.11175137871528935,headless_sim_loop,model_count=1; shape_count=3; tri_count=3200; tet_count=0; edge_count=4880; viewer=ViewerNull; compile/build excluded
Newton,Franka grasp softbody VBD,video/Newton/newton_robot_franka_grasp_softbody_vbd.mp4,robot_softbody,Featherstone robot + VBD soft body,9,9,9,2734,2734,9,0.0016666666666666666,10,10,50,0.699788300000364,71.45018000440132,1.1908363334066887,headless_sim_loop,model_count=1; shape_count=56; tri_count=2710; tet_count=11615; edge_count=4064; viewer=ViewerNull; compile/build excluded
Newton,Softbody VBD hanging damping,video/Newton/newton_softbody_vbd_hanging_damping.mp4,softbody,VBD soft body,0,0,0,1300,1300,0,0.0016666666666666666,10,10,50,0.973527300011483,51.35962802420665,0.8559938004034442,headless_sim_loop,model_count=1; shape_count=1; tri_count=1792; tet_count=3840; edge_count=2688; viewer=ViewerNull; compile/build excluded
Newton,Franka cloth T-shirt manipulation,video/Newton/newton_robot_franka_cloth_tshirt_manipulation.mp4,robot_cloth,Featherstone robot + VBD cloth,9,9,9,6436,6436,9,0.0016666666666666666,10,5,20,0.3071563999983482,65.11340802310339,1.0852234670517231,headless_sim_loop,model_count=1; shape_count=56; tri_count=12736; tet_count=0; edge_count=19174; viewer=ViewerNull; compile/build excluded
